,state,tot_cases,new_case,tot_death
365,CO,386285,1319.0,5505
366,WI,226705,5146.0,2003
367,PR,41119,667.0,914
368,MA,160394,1137.0,9908
369,PA,82186,0.0,6426
370,ME,3758,21.0,118
371,KY,0,0.0,0
372,MD,66777,327.0,3168
373,VI,1469,0.0,23
374,AR,20257,439.0,265
375,AK,0,0.0,0
376,FSM,0,0.0,0
377,ND,1994,63.0,45
378,MI,98213,907.0,6533
379,WV,75936,1199.0,1194
380,UT,103117,1608.0,568
381,CA,62512,1898.0,2585
382,VT,14608,115.0,198
383,RMI,0,0.0,0
384,GA,18416,843.0,782
385,VA,460,69.0,13
386,IA,331221,714.0,5321
387,WV,130139,285.0,2274
388,AK,3484,35.0,25
389,PW,0,0.0,0
390,DE,78982,286.0,1130
391,HI,2424,207.0,26
392,AZ,16783,222.0,807
393,KS,281562,2647.0,4101
394,IN,13680,641.0,741
395,PW,0,0.0,0
396,VI,0,0.0,0
397,NY,883994,3356.0,17555
398,MN,402519,1508.0,5030
399,MI,251872,6620.0,8136
400,TN,24990,447.0,403
401,AK,20207,495.0,96
402,MN,0,0.0,0
403,NE,0,0.0,0
404,IL,3,1.0,0
405,SC,203196,1765.0,4304
406,AZ,14566,396.0,704
407,IN,71015,1040.0,3013
408,CA,846579,3803.0,16564
409,HI,8313,200.0,62
410,CO,83230,1312.0,2172
411,TX,2125552,11590.0,32084
412,FL,1822644,6536.0,29692
413,AL,135565,1148.0,2301
414,ID,2419,30.0,73
415,RI,101393,786.0,1970
416,CO,58287,268.0,1955
417,MN,0,0.0,0
418,AZ,401,75.0,6
419,NE,412,45.0,8
420,AL,0,0.0,0
421,CO,58655,368.0,1966
422,MS,187904,2261.0,4320
423,TX,55971,623.0,1527
424,HI,24201,122.0,329
425,GA,137102,4233.0,3132
426,NV,282493,897.0,4463
427,PA,163535,2251.0,8216
428,OK,276095,0.0,2291
429,GA,301835,2214.0,6204
430,IL,1046030,5862.0,19617
431,NV,82204,392.0,1665
432,UT,326221,1302.0,1507
433,SC,16,3.0,0
434,PA,555844,7355.0,13924
435,MS,143180,779.0,3676
436,PW,0,0.0,0
437,FSM,0,0.0,0
438,GA,55,16.0,0
439,WY,3468,38.0,34
440,DE,26,10.0,0
441,AZ,504423,10086.0,8469
442,VI,741,7.0,9
443,PW,0,0.0,0
444,SD,101684,608.0,1519
445,SC,135478,599.0,3179
446,PR,73658,431.0,1456
447,MT,332,12.0,6
448,NYC,221089,270.0,23336
449,MN,0,0.0,0
450,IL,7695,715.0,157
