,submission_date,state,tot_cases,tot_death
570,2020-09-20T00:00:00.000,GU,2074,31
120,2020-04-07T00:00:00.000,GU,122,4
497,2020-06-02T00:00:00.000,GU,177,5
670,2020-06-02T00:00:00.000,HI,646,17
184,2020-08-26T00:00:00.000,HI,7540,51
36,2020-10-03T00:00:00.000,HI,12768,142
481,2020-05-31T00:00:00.000,HI,644,17
51,2020-12-01T00:00:00.000,HI,17751,242
208,2020-04-19T00:00:00.000,HI,576,10
424,2021-01-22T00:00:00.000,HI,24201,329
484,2020-04-09T00:00:00.000,HI,469,6
291,2020-10-24T00:00:00.000,HI,14501,211
611,2020-02-06T00:00:00.000,HI,0,0
409,2020-08-29T00:00:00.000,HI,8313,62
271,2020-10-26T00:00:00.000,HI,14653,211
391,2020-08-02T00:00:00.000,HI,2424,26
261,2020-11-19T00:00:00.000,HI,16677,222
727,2020-04-26T00:00:00.000,HI,597,14
735,2021-02-08T00:00:00.000,HI,25742,415
571,2020-05-01T00:00:00.000,HI,607,16
251,2020-11-30T00:00:00.000,HI,17708,242
731,2020-05-16T00:00:00.000,HI,629,17
386,2021-02-18T00:00:00.000,IA,331221,5321
278,2020-06-19T00:00:00.000,IA,25275,681
940,2020-04-07T00:00:00.000,IA,1048,26
5,2020-04-30T00:00:00.000,IA,7145,162
281,2020-03-15T00:00:00.000,IA,22,0
38,2020-11-21T00:00:00.000,IA,207675,2160
964,2020-02-16T00:00:00.000,IA,0,0
243,2021-01-13T00:00:00.000,IA,300304,4232
118,2020-04-18T00:00:00.000,IA,2513,74
474,2020-06-09T00:00:00.000,IA,22237,624
39,2020-12-18T00:00:00.000,IA,264758,3451
185,2021-02-16T00:00:00.000,ID,167945,1806
778,2020-05-28T00:00:00.000,ID,2769,82
247,2020-05-26T00:00:00.000,ID,2699,81
180,2020-07-21T00:00:00.000,ID,15822,126
338,2020-09-03T00:00:00.000,ID,32927,372
147,2020-02-06T00:00:00.000,ID,0,0
806,2020-06-21T00:00:00.000,ID,4006,89
93,2020-03-13T00:00:00.000,ID,0,0
500,2020-09-30T00:00:00.000,ID,42048,469
452,2020-07-11T00:00:00.000,ID,10505,102
702,2020-05-29T00:00:00.000,ID,2803,82
837,2020-08-20T00:00:00.000,ID,29120,298
266,2021-01-05T00:00:00.000,ID,144843,1471
525,2021-02-05T00:00:00.000,ID,164969,1758
61,2020-10-06T00:00:00.000,ID,45082,492
414,2020-05-16T00:00:00.000,ID,2419,73
490,2020-08-13T00:00:00.000,ID,26631,251
576,2020-07-19T00:00:00.000,ID,14873,119
450,2020-04-02T00:00:00.000,IL,7695,157
430,2021-01-13T00:00:00.000,IL,1046030,19617
927,2020-11-07T00:00:00.000,IL,477978,10488
88,2020-12-09T00:00:00.000,IL,812430,14613
795,2020-11-28T00:00:00.000,IL,712936,12838
343,2020-12-15T00:00:00.000,IL,863477,15587
404,2020-03-01T00:00:00.000,IL,3,0
152,2020-12-13T00:00:00.000,IL,848904,15339
226,2020-06-22T00:00:00.000,IL,138224,6875
482,2020-06-12T00:00:00.000,IL,132059,6441
394,2020-04-24T00:00:00.000,IN,13680,741
407,2020-08-06T00:00:00.000,IN,71015,3013
999,2020-07-17T00:00:00.000,IN,54813,2803
256,2020-10-14T00:00:00.000,IN,139269,3836
691,2020-01-28T00:00:00.000,IN,0,0
102,2020-09-23T00:00:00.000,IN,113337,3530
862,2020-07-24T00:00:00.000,IN,60598,2884
649,2021-01-25T00:00:00.000,IN,613228,9728
604,2020-02-25T00:00:00.000,IN,0,0
586,2020-06-05T00:00:00.000,IN,36578,2258
42,2020-09-19T00:00:00.000,IN,110759,3503
312,2020-02-13T00:00:00.000,IN,0,0
527,2020-07-05T00:00:00.000,IN,48008,2693
82,2020-07-31T00:00:00.000,IN,66154,2965
79,2020-10-08T00:00:00.000,IN,129677,3742
295,2020-05-13T00:00:00.000,IN,25473,1619
479,2021-01-26T00:00:00.000,IN,614946,9807
393,2021-02-05T00:00:00.000,KS,281562,4101
763,2020-05-14T00:00:00.000,KS,7468,164
85,2020-08-21T00:00:00.000,KS,36856,419
822,2020-11-16T00:00:00.000,KS,122741,1266
356,2020-09-27T00:00:00.000,KS,56592,632
787,2020-10-21T00:00:00.000,KS,74456,952
86,2020-11-27T00:00:00.000,KS,153021,1529
733,2020-07-27T00:00:00.000,KS,26172,335
190,2020-12-10T00:00:00.000,KS,179803,1941
659,2021-01-10T00:00:00.000,KS,242322,3148
227,2020-11-29T00:00:00.000,KS,153021,1529
552,2021-02-19T00:00:00.000,KS,290832,4614
518,2020-06-15T00:00:00.000,KS,11419,245
462,2021-02-11T00:00:00.000,KS,284894,4303
340,2020-08-22T00:00:00.000,KS,36856,419
914,2020-07-12T00:00:00.000,KS,18611,284
917,2020-07-28T00:00:00.000,KY,28126,719
933,2020-04-10T00:00:00.000,KY,1693,90
985,2020-04-22T00:00:00.000,KY,3373,185
371,2020-02-07T00:00:00.000,KY,0,0
456,2020-01-23T00:00:00.000,KY,0,0
871,2020-10-11T00:00:00.000,KY,80292,1252
858,2020-02-18T00:00:00.000,KY,0,0
704,2020-08-11T00:00:00.000,KY,35793,783
563,2020-07-31T00:00:00.000,KY,30151,735
536,2020-07-13T00:00:00.000,KY,19653,629
526,2021-02-20T00:00:00.000,KY,396018,4426
505,2020-02-29T00:00:00.000,KY,0,0
877,2020-04-05T00:00:00.000,KY,955,45
665,2020-08-05T00:00:00.000,KY,32741,752
0,2020-05-04T00:00:00.000,KY,5245,261
130,2020-03-19T00:00:00.000,KY,43,2
128,2020-05-22T00:00:00.000,KY,8426,391
296,2020-07-30T00:00:00.000,KY,29386,731
583,2020-12-10T00:00:00.000,LA,261329,6724
621,2021-02-16T00:00:00.000,LA,420394,9325
781,2020-10-24T00:00:00.000,LA,182603,5820
550,2021-02-06T00:00:00.000,LA,409861,9076
960,2020-01-23T00:00:00.000,LA,0,0
932,2020-10-28T00:00:00.000,LA,185822,5890
530,2020-06-04T00:00:00.000,LA,41562,2883
516,2021-01-30T00:00:00.000,LA,397276,8801
641,2020-06-30T00:00:00.000,LA,58095,3221
25,2020-06-29T00:00:00.000,LA,57081,3199
350,2020-03-17T00:00:00.000,LA,190,4
640,2021-01-04T00:00:00.000,LA,322181,7585
637,2021-01-04T00:00:00.000,MA,385351,12609
122,2020-04-01T00:00:00.000,MA,7738,122
129,2020-12-19T00:00:00.000,MA,316824,11613
812,2020-12-21T00:00:00.000,MA,324746,11714
222,2020-09-12T00:00:00.000,MA,132533,9195
19,2020-01-29T00:00:00.000,MA,0,0
829,2020-04-24T00:00:00.000,MA,50969,2556
543,2020-09-05T00:00:00.000,MA,130253,9116
738,2020-08-21T00:00:00.000,MA,125159,8901
368,2020-10-28T00:00:00.000,MA,160394,9908
729,2020-08-14T00:00:00.000,MA,124081,8804
819,2020-07-26T00:00:00.000,MA,115637,8529
793,2020-03-12T00:00:00.000,MA,108,0
545,2020-10-08T00:00:00.000,MD,130159,3990
324,2020-05-04T00:00:00.000,MD,27117,1390
33,2020-12-11T00:00:00.000,MD,232009,5100
242,2021-02-22T00:00:00.000,MD,377628,7762
140,2020-01-27T00:00:00.000,MD,0,0
874,2020-09-29T00:00:00.000,MD,124725,3949
333,2020-07-05T00:00:00.000,MD,69904,3246
110,2021-01-20T00:00:00.000,MD,334519,6735
876,2020-06-18T00:00:00.000,MD,63548,3030
770,2021-01-14T00:00:00.000,MD,320739,6494
4,2020-08-21T00:00:00.000,MD,103523,3685
662,2020-09-10T00:00:00.000,MD,114724,3828
744,2020-09-12T00:00:00.000,MD,116110,3838
663,2020-09-23T00:00:00.000,MD,121800,3909
372,2020-06-27T00:00:00.000,MD,66777,3168
813,2020-09-19T00:00:00.000,ME,5079,140
235,2020-04-22T00:00:00.000,ME,907,39
316,2020-08-03T00:00:00.000,ME,3975,123
844,2020-02-04T00:00:00.000,ME,0,0
706,2020-10-16T00:00:00.000,ME,5902,145
451,2020-06-29T00:00:00.000,ME,3252,105
922,2020-04-07T00:00:00.000,ME,519,12
742,2020-08-14T00:00:00.000,ME,4144,127
765,2020-02-25T00:00:00.000,ME,0,0
306,2020-11-14T00:00:00.000,ME,8944,165
272,2020-02-28T00:00:00.000,ME,0,0
468,2020-11-27T00:00:00.000,ME,11288,191
370,2020-07-23T00:00:00.000,ME,3758,118
511,2020-03-21T00:00:00.000,ME,70,0
496,2020-11-20T00:00:00.000,ME,10123,174
736,2020-02-16T00:00:00.000,ME,0,0
547,2020-11-15T00:00:00.000,ME,9117,165
598,2021-02-23T00:00:00.000,ME,43900,677
28,2020-08-01T00:00:00.000,ME,3958,123
320,2020-10-27T00:00:00.000,ME,6387,146
181,2020-07-10T00:00:00.000,ME,3499,111
195,2020-10-13T00:00:00.000,ME,5816,143
605,2021-01-15T00:00:00.000,ME,33219,507
950,2020-04-12T00:00:00.000,ME,633,19
854,2020-02-13T00:00:00.000,MI,0,0
553,2020-10-20T00:00:00.000,MI,165994,7383
280,2020-06-16T00:00:00.000,MI,66269,6034
847,2020-09-07T00:00:00.000,MI,118403,6810
783,2020-02-02T00:00:00.000,MI,0,0
192,2020-11-17T00:00:00.000,MI,296840,8511
828,2020-02-12T00:00:00.000,MI,0,0
905,2021-02-13T00:00:00.000,MI,628956,16119
378,2020-08-11T00:00:00.000,MI,98213,6533
399,2020-11-11T00:00:00.000,MI,251872,8136
872,2021-01-21T00:00:00.000,MI,592382,14933
162,2020-12-16T00:00:00.000,MI,482815,11588
768,2020-05-11T00:00:00.000,MI,47552,4584
696,2020-04-29T00:00:00.000,MI,40399,3670
142,2020-04-16T00:00:00.000,MI,29263,2093
634,2020-05-26T00:00:00.000,MI,55104,5266
459,2020-12-15T00:00:00.000,MN,384164,4542
532,2021-01-21T00:00:00.000,MN,450762,6079
808,2020-09-14T00:00:00.000,MN,85351,1979
867,2020-02-18T00:00:00.000,MN,0,0
501,2021-02-22T00:00:00.000,MN,479591,6501
885,2020-12-19T00:00:00.000,MN,394635,4839
879,2020-02-12T00:00:00.000,MN,0,0
631,2020-08-12T00:00:00.000,MN,62296,1726
398,2020-12-23T00:00:00.000,MN,402519,5030
739,2020-01-23T00:00:00.000,MN,0,0
402,2020-03-01T00:00:00.000,MN,0,0
66,2021-01-08T00:00:00.000,MN,431944,5688
800,2020-12-18T00:00:00.000,MN,391889,4782
417,2020-02-08T00:00:00.000,MN,0,0
449,2020-03-02T00:00:00.000,MN,0,0
260,2021-02-16T00:00:00.000,MN,474621,6448
979,2020-05-21T00:00:00.000,MN,19005,851
197,2020-09-03T00:00:00.000,MN,78966,1899
239,2020-12-01T00:00:00.000,MN,322312,3674
537,2020-08-23T00:00:00.000,MN,70298,1817
211,2020-11-21T00:00:00.000,MO,271527,3559
486,2021-01-09T00:00:00.000,MO,420583,5944
489,2020-11-08T00:00:00.000,MO,209197,3153
292,2020-10-07T00:00:00.000,MO,135651,2236
493,2020-01-28T00:00:00.000,MO,0,0
614,2020-07-27T00:00:00.000,MO,43050,1201
542,2021-01-10T00:00:00.000,MO,423327,5948
827,2020-03-27T00:00:00.000,MO,670,9
615,2020-10-22T00:00:00.000,MO,162723,2657
672,2020-02-09T00:00:00.000,MO,0,0
560,2021-02-17T00:00:00.000,MO,473459,7695
859,2020-10-15T00:00:00.000,MO,150554,2442
524,2020-04-18T00:00:00.000,MO,5517,175
252,2020-06-12T00:00:00.000,MO,15585,872
148,2020-04-05T00:00:00.000,MO,2367,34
121,2020-12-11T00:00:00.000,MO,338604,4481
803,2020-02-07T00:00:00.000,MO,0,0
138,2021-01-17T00:00:00.000,MO,437549,6254
925,2020-06-24T00:00:00.000,MO,18868,975
32,2020-02-08T00:00:00.000,MO,0,0
473,2020-09-29T00:00:00.000,MO,124762,2086
